schoolId,schoolName,npsn,district,sortIndex,authEmail,adminEmail,backupEmail,isActive
smpn_1_jatirejo,SMPN 1 JATIREJO,20502647,Jatirejo,1,20502647@edulock.local,,,true
smpn_2_jatirejo,SMPN 2 JATIREJO,20502625,Jatirejo,2,20502625@edulock.local,,,true
smpn_3_jatirejo,SMPN SATU ATAP MANTING,20555815,Jatirejo,3,20555815@edulock.local,,,true
smpn_1_gondang,SMPN 1 GONDANG,20502646,Gondang,4,20502646@edulock.local,,,true
smpn_2_gondang,SMPN 2 GONDANG,20502624,Gondang,5,20502624@edulock.local,,,true
smpn_3_gondang,SMPN 3 GONDANG,20551769,Gondang,6,20551769@edulock.local,,,true
smpn_1_pacet,SMPN 1 PACET,20502654,Pacet,7,20502654@edulock.local,,,true
smpn_2_pacet,SMPN 2 PACET,20502631,Pacet,8,20502631@edulock.local,,,true
smpn_3_pacet,SMPN 3 PACET,20555784,Pacet,9,20555784@edulock.local,,,true
smpn_1_trawas,SMPN 1 TRAWAS,20502636,Trawas,10,20502636@edulock.local,,,true
smpn_2_trawas,SMPN 2 TRAWAS,20502634,Trawas,11,20502634@edulock.local,,,true
smpn_1_ngoro,SMPN 1 NGORO,20502653,Ngoro,12,20502653@edulock.local,,,true
smpn_2_ngoro,SMPN 2 NGORO,20502630,Ngoro,13,20502630@edulock.local,,,true
smpn_3_ngoro,SMPN 3 SATU ATAP NGORO,69872302,Ngoro,14,69872302@edulock.local,,,true
smpn_1_pungging,SMPN 1 PUNGGING,20502655,Pungging,15,20502655@edulock.local,,,true
smpn_2_pungging,SMPN 2 PUNGGING,20502632,Pungging,16,20502632@edulock.local,,,true
smpn_1_kutorejo,SMPN 1 KUTOREJO,20502650,Kutorejo,17,20502650@edulock.local,,,true
smpn_2_kutorejo,SMPN 2 KUTOREJO,20502627,Kutorejo,18,20502627@edulock.local,,,true
smpn_3_kutorejo,SMPN 3 KUTOREJO,20502656,Kutorejo,19,20502656@edulock.local,,,true
smpn_1_mojosari,SMPN 1 MOJOSARI,20502652,Mojosari,20,20502652@edulock.local,,,true
smpn_2_mojosari,SMPN 2 MOJOSARI,20502629,Mojosari,21,20502629@edulock.local,,,true
smpn_1_bangsal,SMPN 1 BANGSAL,20502642,Bangsal,22,20502642@edulock.local,,,true
smpn_2_bangsal,SMPN 2 BANGSAL,20502620,Bangsal,23,20502620@edulock.local,,,true
smpn_1_dlanggu,SMPN 1 DLANGGU,20502644,Dlanggu,24,20502644@edulock.local,,,true
smpn_2_dlanggu,SMPN 2 DLANGGU,20502622,Dlanggu,25,20502622@edulock.local,,,true
smpn_1_puri,SMPN 1 PURI,20502638,Puri,26,20502638@edulock.local,,,true
smpn_2_puri,SMPN 2 PURI,70002096,Puri,27,70002096@edulock.local,,,true
smpn_1_trowulan,SMPN 1 TROWULAN,20502619,Trowulan,28,20502619@edulock.local,,,true
smpn_2_trowulan,SMPN 2 TROWULAN,20502635,Trowulan,29,20502635@edulock.local,,,true
smpn_1_sooko,SMPN 1 SOOKO,20502637,Sooko,30,20502637@edulock.local,,,true
smpn_2_sooko,SMPN 2 SOOKO,20502633,Sooko,31,20502633@edulock.local,,,true
smpn_1_gedeg,SMPN 1 GEDEG,20502645,Gedeg,32,20502645@edulock.local,,,true
smpn_2_gedeg,SMPN 2 GEDEG,20502623,Gedeg,33,20502623@edulock.local,,,true
smpn_3_gedeg,SMP GEDEG SWASTA,20502603,Gedeg,34,20502603@edulock.local,,,true
smpn_1_kemlagi,SMPN 1 KEMLAGI,20502649,Kemlagi,35,20502649@edulock.local,,,true
smpn_2_kemlagi,SMPN 2 KEMLAGI,70011144,Kemlagi,36,70011144@edulock.local,,,true
smpn_1_jetis,SMPN 1 JETIS,20502648,Jetis,37,20502648@edulock.local,,,true
smpn_2_jetis,SMPN 2 JETIS,20502626,Jetis,38,20502626@edulock.local,,,true
smpn_1_dawar_blandong,SMPN 1 DAWARBLANDONG,20502643,Dawar Blandong,39,20502643@edulock.local,,,true
smpn_2_dawar_blandong,SMPN 2 DAWARBLANDONG,20502621,Dawar Blandong,40,20502621@edulock.local,,,true
smpn_1_mojoanyar,SMPN 1 MOJOANYAR,20502651,Mojoanyar,41,20502651@edulock.local,,,true
smpn_2_mojoanyar,SMPN 2 MOJOANYAR,20502628,Mojoanyar,42,20502628@edulock.local,,,true
